,sensor_id,pm25,coverage_percent,minimum,maximum,average,original_observation,hour,day_of_week,day_of_month,month,day_of_year,week_of_year,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,pm25_lag_1h,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h,pm25_lag_48h,pm25_lag_72h,pm25_rolling_mean_3h,pm25_rolling_std_3h,pm25_rolling_min_3h,pm25_rolling_max_3h,pm25_rolling_mean_6h,pm25_rolling_std_6h,pm25_rolling_min_6h,pm25_rolling_max_6h,pm25_rolling_mean_12h,pm25_rolling_std_12h,pm25_rolling_min_12h,pm25_rolling_max_12h,pm25_rolling_mean_24h,pm25_rolling_std_24h,pm25_rolling_min_24h,pm25_rolling_max_24h,pm25_rolling_mean_72h,pm25_rolling_std_72h,pm25_rolling_min_72h,pm25_rolling_max_72h
sensor_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm25,,1.0,,0.9999977335210886,0.9999977335210886,0.9999977335210886,0.026859649087948745,-0.004434996423758367,0.0013455512215322562,0.03752568154460828,0.017104655358099376,0.024825169577198963,0.02550504952532263,0.01090731229710126,-0.0274317980502626,0.1574257735522455,0.004736765528978444,0.012781467727924822,0.9536282264412057,0.8398417853717269,0.7106159785030435,0.5562686209606468,0.7733073335158307,0.6941067696324543,0.6573921774768011,0.9160802850105293,0.609356408319712,0.9079533138854874,0.9043215181511434,0.8668426205780883,0.6613871743934149,0.8467859355472078,0.8532345984025231,0.79337427057436,0.6745349724866289,0.7613508940128952,0.7829322093818768,0.8149437989052248,0.674223865691473,0.7574463639650265,0.7586807767033563,0.7552178673016421,0.6535726938224949,0.6837081917163339,0.667864080850821
coverage_percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimum,,0.9999977335210886,,1.0,1.0,1.0,,-0.00260607075991408,0.004977503352862512,0.04018552983611,0.016140615698969726,0.024156493434082254,0.02474479194390717,0.015058822186080621,-0.027930419777273587,0.15801846851048312,0.002299481582284202,0.014100326570006871,0.9533300221459079,0.8419000974394671,0.7119319126666609,0.5618312153091579,0.7729237584979431,0.6933759413728181,0.6556465076351602,0.9162448546033795,0.6175826799897263,0.907466572094624,0.9059525102640291,0.8676207318461473,0.6665385454275636,0.8460095521276476,0.8560850338283811,0.7955198693285622,0.6784225724298639,0.7610787509100411,0.7869022917775854,0.8180501346478912,0.6760800082209971,0.7577684501836578,0.7616789439846041,0.758112484009356,0.653882229393377,0.6839506711010865,0.6682318715729694
maximum,,0.9999977335210886,,1.0,1.0,1.0,,-0.00260607075991408,0.004977503352862512,0.04018552983611,0.016140615698969726,0.024156493434082254,0.02474479194390717,0.015058822186080621,-0.027930419777273587,0.15801846851048312,0.002299481582284202,0.014100326570006871,0.9533300221459079,0.8419000974394671,0.7119319126666609,0.5618312153091579,0.7729237584979431,0.6933759413728181,0.6556465076351602,0.9162448546033795,0.6175826799897263,0.907466572094624,0.9059525102640291,0.8676207318461473,0.6665385454275636,0.8460095521276476,0.8560850338283811,0.7955198693285622,0.6784225724298639,0.7610787509100411,0.7869022917775854,0.8180501346478912,0.6760800082209971,0.7577684501836578,0.7616789439846041,0.758112484009356,0.653882229393377,0.6839506711010865,0.6682318715729694
average,,0.9999977335210886,,1.0,1.0,1.0,,-0.00260607075991408,0.004977503352862512,0.04018552983611,0.016140615698969726,0.024156493434082254,0.02474479194390717,0.015058822186080621,-0.027930419777273587,0.15801846851048312,0.002299481582284202,0.014100326570006871,0.9533300221459079,0.8419000974394671,0.7119319126666609,0.5618312153091579,0.7729237584979431,0.6933759413728181,0.6556465076351602,0.9162448546033795,0.6175826799897263,0.907466572094624,0.9059525102640291,0.8676207318461473,0.6665385454275636,0.8460095521276476,0.8560850338283811,0.7955198693285622,0.6784225724298639,0.7610787509100411,0.7869022917775854,0.8180501346478912,0.6760800082209971,0.7577684501836578,0.7616789439846041,0.758112484009356,0.653882229393377,0.6839506711010865,0.6682318715729694
original_observation,,0.026859649087948745,,,,,1.0,0.0019401846819740943,-0.01834640091829683,-0.0698007870105689,-0.0599764589006981,-0.06724445620901523,-0.06660625439700593,-0.051523045042266284,-0.04496342268218588,0.012303518436931714,0.021969418606741797,-0.06758677584136946,0.025317283440855404,0.006526195939148119,-0.014989239759394424,-0.013461700699424477,0.0011791085121390522,0.018426968542883726,0.03107819990501626,0.018971755977653444,-0.011818710524590716,0.02292464094014988,0.012778706264687944,0.004453637577617292,-0.03247351679672394,0.01724639651197179,-0.008386096984651904,-0.008228320644497533,-0.025219311198628108,0.01583294428066406,-0.015584322820105433,-0.003009237247617898,-0.011438146967791534,0.006720261742828935,-0.009852019497612727,-0.011786623718464066,-0.0013919439579968306,0.005987309431481306,-0.0009309615315994577
hour,,-0.004434996423758367,,-0.00260607075991408,-0.00260607075991408,-0.00260607075991408,0.0019401846819740943,1.0,0.008150691106379669,-0.0013257118631847203,0.0008664944913496063,0.0007912850647252238,0.0006071540187395714,0.013933252890441975,-0.7759410764914874,-0.10108092640341604,-0.0011319970648468456,0.004355727085727655,-0.025369052936886828,-0.06372022482647129,-0.11801116311103334,-0.015644065224182414,-0.005746309315124808,-0.005826312009478802,-0.0026868536255623284,-0.044995303470191234,-0.05007087929259514,-0.04032211896017526,-0.0484537301495574,-0.07554578389987363,-0.03868944812669494,-0.0831436627628159,-0.06852478883769078,-0.09333154480117699,-0.022522060482387887,-0.08866264931174725,-0.05833600478953639,0.003072618272507421,-0.005220390398024537,0.004759340123577773,-0.0006893831222073156,0.006812045827041931,0.0014850161253057387,0.014442247180421329,-0.000315931621511601
day_of_week,,0.0013455512215322562,,0.004977503352862512,0.004977503352862512,0.004977503352862512,-0.01834640091829683,0.008150691106379669,1.0,-0.02346836237426755,0.0023036013544652256,2.923704928810093e-05,-0.022592186165313975,0.7936252184154616,-0.003913500749703454,-0.0022933272388862484,-0.731548433450745,-0.33785678016444204,0.0012750411246526979,0.004861322900838825,0.008148796222663237,0.0033282025471898244,-0.011526460523450955,-0.029978956414376597,-0.022679198637320267,0.0040086757275975445,-0.014306110526532412,0.006716520377171827,2.5026948358715133e-05,0.007626414146762362,-0.0018348217404898703,0.0068784234597825695,0.004167068399278181,0.010316847786351812,0.013873052261414933,-0.00261610356544299,0.009124852009198952,0.011647336354057788,0.021545039206047226,-0.0038312163072721306,0.01695274990041482,0.015663778064784355,0.026317235601935624,0.019286602099540247,0.024119416359589824
day_of_month,,0.03752568154460828,,0.04018552983611,0.04018552983611,0.04018552983611,-0.0698007870105689,-0.0013257118631847203,-0.02346836237426755,1.0,-0.02908613308998329,0.07313000939989878,0.07339323618072488,-0.0147313695011953,-0.0002879759838280022,0.0021950029701831597,-0.005395588835222234,0.002428872404704383,0.03545355385820511,0.030865829920327006,0.0257916781298044,0.013384184910233205,0.00025699613552051555,-0.015238998888355476,-0.024351359469489183,0.034077147798194374,0.03512029837328137,0.031057123729155485,0.03613702838523218,0.03204159813164035,0.0314309697063836,0.0301408194318553,0.035577230415241114,0.028881554555723242,0.017289371907173123,0.03435016450253575,0.029129610172286432,0.021723443236589313,-0.001077617211944177,0.043722889491008374,0.013722239002226981,-0.017162547365467743,0.007622129771847268,-0.01497857553716848,0.0009549947792031852
