hour,mean,median,std,min,max,count
0,45.03205197132616,32.650000000000006,45.758909884302156,0.1,225.0,186
1,46.05940860215053,33.7,44.83747612270079,1.1,249.0,186
2,49.09145161290323,34.099999999999994,48.418186325704305,1.2,282.0,186
3,51.554054054054056,34.8,53.57425667784874,1.3,320.0,185
4,50.211486486486486,33.2,51.24178712646757,2.8,237.0,185
5,43.00740540540541,31.3,39.99736250506934,2.7,218.0,185
6,39.04043243243243,32.4,31.902512829117168,1.0,199.0,185
7,35.88070652173913,31.0,25.661756752167005,3.75,161.0,184
8,33.92252747252747,31.3,23.84259124156812,0.1,174.0,182
9,31.385349907918968,29.18,22.44141100926501,2.8,146.0,181
10,29.793195970695972,28.65,19.998041857703875,2.4,105.0,182
11,29.455718232044198,27.7,19.9530143652295,0.7,116.0,181
12,30.143306010928963,27.1,20.992515008934685,0.9,131.0,183
13,31.756657608695654,27.9,23.24540499507074,0.5,155.0,184
14,34.240437158469945,29.6,25.51792293696008,0.1,163.0,183
15,37.91190217391304,29.7,28.97583591294247,3.8,188.0,184
16,40.40088709677419,32.05,32.46857608299837,0.425,161.0,186
17,42.233897849462366,32.2,36.83433961848712,0.715,191.0,186
18,45.76327956989247,32.2,44.92236572309226,2.4,277.0,186
19,45.55403225806451,32.099999999999994,45.532438349284405,2.7,278.0,186
20,45.48593582887701,30.2,46.81297770109451,1.3,286.0,187
21,45.41566844919786,30.2,47.522933716114956,0.3,275.0,187
22,45.86644385026738,30.2,50.37728956136137,0.2,345.0,187
23,46.236541889483064,31.8,49.3368083167405,0.0,252.0,187
