column,missing_count,missing_percent
pm25_rolling_min_72h,887,20.00451059990979
pm25_rolling_max_72h,887,20.00451059990979
pm25_rolling_mean_72h,887,20.00451059990979
pm25_rolling_std_72h,887,20.00451059990979
pm25_lag_72h,633,14.276048714479025
pm25_lag_48h,440,9.923319801533605
pm25_rolling_mean_24h,314,7.081641858367163
pm25_rolling_std_24h,314,7.081641858367163
pm25_rolling_min_24h,314,7.081641858367163
pm25_rolling_max_24h,314,7.081641858367163
pm25_lag_24h,254,5.728461885430762
pm25_rolling_mean_12h,158,3.5633739287325215
pm25_rolling_min_12h,158,3.5633739287325215
pm25_rolling_max_12h,158,3.5633739287325215
pm25_rolling_std_12h,158,3.5633739287325215
pm25_lag_12h,148,3.337843933243121
pm25_rolling_std_6h,80,1.8042399639152007
pm25_rolling_mean_6h,80,1.8042399639152007
pm25_rolling_max_6h,80,1.8042399639152007
pm25_lag_6h,80,1.8042399639152007
pm25_rolling_min_6h,80,1.8042399639152007
timestamp_end,44,0.9923319801533603
city,44,0.9923319801533603
sensor_id,44,0.9923319801533603
country,44,0.9923319801533603
minimum,44,0.9923319801533603
unit,44,0.9923319801533603
average,44,0.9923319801533603
coverage_percent,44,0.9923319801533603
maximum,44,0.9923319801533603
pm25_rolling_max_3h,41,0.9246729815065404
pm25_rolling_mean_3h,41,0.9246729815065404
pm25_lag_3h,41,0.9246729815065404
pm25_rolling_std_3h,41,0.9246729815065404
pm25_rolling_min_3h,41,0.9246729815065404
pm25_lag_1h,14,0.31574199368516015
