month,mean,median,std,min,max,count
1,70.0587912087912,60.55,38.75931689342012,19.4,217.0,182
2,62.43169642857143,46.75,40.19920283900309,12.3,284.0,672
3,35.561290322580646,34.6,9.843340336166737,20.6,92.3,155
5,0.57,0.57,0.2050609665440988,0.425,0.715,2
6,26.36959405940594,23.6,16.932729296019183,1.07,153.0,505
7,22.72491935483871,18.7,14.34871666033128,0.0,93.7,1488
8,21.906518518518517,19.2,12.72875978721305,5.7,56.1,405
9,20.118629807692308,19.4,14.47006957500013,4.14,86.7,208
10,31.730649350649347,27.9,19.628197691824106,5.91,144.0,385
11,109.01819620253164,91.25,57.4930141821757,36.9,345.0,316
12,115.48362068965517,120.5,40.30468511759874,11.7,237.0,116
