,correlation
minimum,0.9999977335210886
maximum,0.9999977335210886
average,0.9999977335210886
pm25_lag_1h,0.9536282264412057
pm25_rolling_mean_3h,0.9160802850105293
pm25_rolling_min_3h,0.9079533138854874
pm25_rolling_max_3h,0.9043215181511434
pm25_rolling_mean_6h,0.8668426205780883
pm25_rolling_max_6h,0.8532345984025231
pm25_rolling_min_6h,0.8467859355472078
pm25_lag_3h,0.8398417853717269
pm25_rolling_mean_24h,0.8149437989052248
pm25_rolling_mean_12h,0.79337427057436
pm25_rolling_max_12h,0.7829322093818768
pm25_lag_24h,0.7733073335158307
pm25_rolling_min_12h,0.7613508940128952
pm25_rolling_max_24h,0.7586807767033563
pm25_rolling_min_24h,0.7574463639650265
pm25_rolling_mean_72h,0.7552178673016421
pm25_lag_6h,0.7106159785030435
pm25_lag_48h,0.6941067696324543
pm25_rolling_min_72h,0.6837081917163339
pm25_rolling_std_12h,0.6745349724866289
pm25_rolling_std_24h,0.674223865691473
pm25_rolling_max_72h,0.667864080850821
pm25_rolling_std_6h,0.6613871743934149
pm25_lag_72h,0.6573921774768011
pm25_rolling_std_72h,0.6535726938224949
pm25_rolling_std_3h,0.609356408319712
pm25_lag_12h,0.5562686209606468
hour_cos,0.1574257735522455
day_of_month,0.03752568154460828
hour_sin,-0.0274317980502626
original_observation,0.026859649087948745
week_of_year,0.02550504952532263
day_of_year,0.024825169577198963
month,0.017104655358099376
dow_cos,0.012781467727924822
is_weekend,0.01090731229710126
dow_sin,0.004736765528978444
hour,-0.004434996423758367
day_of_week,0.0013455512215322562
sensor_id,
coverage_percent,
