feature,mean_abs_shap
minimum,9.4594145
hour_sin,1.2672474
maximum,0.8629089
pm25_lag_1h,0.6228498
day_of_year,0.60772663
average,0.5017263
pm25_lag_6h,0.46195072
pm25_rolling_std_3h,0.35182372
day_of_month,0.34433815
hour,0.33125165
pm25_rolling_min_3h,0.31277618
pm25_rolling_min_6h,0.30776438
pm25_lag_12h,0.2896917
pm25_lag_72h,0.24425532
pm25_rolling_mean_3h,0.23385833
pm25_lag_3h,0.22455277
pm25_lag_48h,0.22254723
pm25_rolling_std_12h,0.21455058
pm25_rolling_max_6h,0.20659962
pm25_rolling_max_12h,0.20472385
pm25_lag_24h,0.20368636
month,0.20131049
pm25_rolling_min_12h,0.19505802
hour_cos,0.18849029
pm25_rolling_mean_12h,0.17886235
pm25_rolling_std_72h,0.17675582
pm25_rolling_std_6h,0.1762091
pm25_rolling_max_3h,0.16886571
pm25_rolling_std_24h,0.14505294
pm25_rolling_mean_6h,0.14056423
pm25_rolling_min_24h,0.11397758
pm25_rolling_max_72h,0.1091298
pm25_rolling_max_24h,0.10106464
dow_sin,0.10086155
pm25_rolling_min_72h,0.09218897
pm25_rolling_mean_24h,0.07806177
pm25_rolling_mean_72h,0.058126282
day_of_week,0.053267434
dow_cos,0.03511418
week_of_year,0.029491812
original_observation,0.01300525
is_weekend,0.0064049186
coverage_percent,0.0
