model,hour_ahead,day,MAE,RMSE,R2,split
Random Forest,1,Day 1,4.271006972361812,6.248657677231146,0.805542654145175,validation
Random Forest,2,Day 1,5.967506281407034,8.404742983024265,0.648844176274654,validation
Random Forest,3,Day 1,7.349344315326631,10.164430726536335,0.48782610277453287,validation
Random Forest,4,Day 1,8.578499968592965,11.664123645198524,0.3250659438343081,validation
Random Forest,5,Day 1,9.247781061557786,12.478878049128046,0.22782521794431332,validation
Random Forest,6,Day 1,9.779543435929643,12.94717258407206,0.1634353237537597,validation
Random Forest,7,Day 1,10.199260521356775,13.030807946156049,0.15395028403765343,validation
Random Forest,8,Day 1,10.365058919597988,13.215111532431953,0.13138048856381834,validation
Random Forest,9,Day 1,10.682573052763821,13.515698310495546,0.0915281214358622,validation
Random Forest,10,Day 1,10.945925471105529,13.835299614616886,0.04828965328220336,validation
Random Forest,11,Day 1,11.041220006281407,14.010963882897085,0.02520906219168617,validation
Random Forest,12,Day 1,11.20715785175879,14.236023543129345,-0.0037406524645597905,validation
Random Forest,13,Day 1,11.348102198492459,14.42466055298313,-0.02953223174401054,validation
Random Forest,14,Day 1,11.534169566582914,14.715252187952698,-0.07067327011463886,validation
Random Forest,15,Day 1,11.500418938442207,14.786491191120106,-0.0804756639177735,validation
Random Forest,16,Day 1,11.701812531407036,14.91950003758042,-0.09986854155232106,validation
Random Forest,17,Day 1,11.718802659128974,15.054874920335509,-0.12139943409867815,validation
Random Forest,18,Day 1,11.90039904731993,15.265700042931574,-0.1548584574890508,validation
Random Forest,19,Day 1,12.283299298576214,15.499753413843033,-0.1905897760954236,validation
Random Forest,20,Day 1,12.398669566582914,15.757821776179652,-0.22966658310270383,validation
Random Forest,21,Day 1,12.6848704459799,15.891640379673246,-0.24931205156507552,validation
Random Forest,22,Day 1,12.788791048994979,15.894920646059255,-0.25073214344264616,validation
Random Forest,23,Day 1,12.741931312814069,15.784549841192236,-0.2326798886435315,validation
Random Forest,24,Day 1,12.535827135678392,15.726572178449993,-0.22154903384145475,validation
Random Forest,25,Day 2,12.21012126256281,15.549354242129462,-0.1947969436536503,validation
Random Forest,26,Day 2,12.227862845477384,15.98744160951577,-0.2643393754004941,validation
Random Forest,27,Day 2,11.849899623115576,15.823903850155695,-0.2390884447959003,validation
Random Forest,28,Day 2,12.090145194723613,16.326777460096228,-0.31666716062800226,validation
Random Forest,29,Day 2,11.613361400753769,15.92725365085703,-0.2464860201271588,validation
Random Forest,30,Day 2,11.85640003140703,16.27432273444352,-0.2979652649567961,validation
Random Forest,31,Day 2,11.688792451842543,15.763863125461555,-0.21780429412418378,validation
Random Forest,32,Day 2,11.74230629187604,16.02507633433336,-0.25905429479444764,validation
Random Forest,33,Day 2,11.51045208333333,15.640178866026103,-0.1996734977904533,validation
Random Forest,34,Day 2,11.649055517169176,15.620722238591354,-0.19448915756176555,validation
Random Forest,35,Day 2,11.544483333333329,15.445886068004356,-0.16631949370786736,validation
Random Forest,36,Day 2,11.474198052763821,15.62581736062202,-0.19481886930697456,validation
Random Forest,37,Day 2,11.547090399916247,15.682379428870734,-0.20364586159409237,validation
Random Forest,38,Day 2,11.98530958961474,16.011501875538524,-0.2547193297889434,validation
Random Forest,39,Day 2,12.001405255443883,15.963352357526473,-0.2468116042537749,validation
Random Forest,40,Day 2,12.203930967336683,16.152848277906156,-0.27614782041531094,validation
Random Forest,41,Day 2,12.165237363902841,16.048384015889845,-0.26104129209307425,validation
Random Forest,42,Day 2,11.904996691792292,15.876337772176054,-0.23629490742908654,validation
Random Forest,43,Day 2,12.310498513400331,16.187970059858852,-0.28702356683959174,validation
Random Forest,44,Day 2,12.625183511306533,16.413386062738688,-0.3258021023964057,validation
Random Forest,45,Day 2,12.732968645309885,16.369726044049937,-0.3282176430874113,validation
Random Forest,46,Day 2,12.877511777638194,16.31922440792285,-0.32379058656619786,validation
Random Forest,47,Day 2,12.530224853433834,15.964929267255155,-0.27223847105939414,validation
Random Forest,48,Day 2,12.166278915410388,15.724605360497174,-0.23673706610329592,validation
Random Forest,49,Day 3,11.94603027638191,15.649584110718964,-0.22702733082299043,validation
Random Forest,50,Day 3,12.509981815326634,16.40553207033209,-0.35089971454047464,validation
Random Forest,51,Day 3,12.478432286432165,16.00925789180936,-0.2888637446587421,validation
Random Forest,52,Day 3,13.232036358877723,17.051712043548026,-0.46525681545482467,validation
Random Forest,53,Day 3,13.458100565326635,17.169305844536222,-0.49101015970977735,validation
Random Forest,54,Day 3,13.481838672529312,17.1219038463891,-0.49303906024541777,validation
Random Forest,55,Day 3,13.292002491624794,16.908196460810746,-0.4619347987456621,validation
Random Forest,56,Day 3,12.584063525963149,16.102447120922726,-0.33140547199359527,validation
Random Forest,57,Day 3,12.628113170016753,16.532947165108567,-0.41203719356778357,validation
Random Forest,58,Day 3,12.297417525125631,15.791264914179575,-0.292768656444681,validation
Random Forest,59,Day 3,12.310237719849251,16.091037631164486,-0.34391777300134607,validation
Random Forest,60,Day 3,12.747360406197657,16.54553760298218,-0.4224896405895675,validation
Random Forest,61,Day 3,12.824184746649918,16.596990677478743,-0.4316364357187741,validation
Random Forest,62,Day 3,12.697824748743717,16.560799390774577,-0.4255488659486555,validation
Random Forest,63,Day 3,12.692055778894469,16.451982417231466,-0.40708917131628697,validation
Random Forest,64,Day 3,12.614045718174202,16.222277935135573,-0.36854875966251344,validation
Random Forest,65,Day 3,13.171170351758798,16.818070063596668,-0.4722693271015468,validation
Random Forest,66,Day 3,12.972598806532673,16.461273375356093,-0.4132265511312314,validation
Random Forest,67,Day 3,13.638327795226134,17.169271701899888,-0.5411565981380342,validation
Random Forest,68,Day 3,13.840473806532666,17.37620095964157,-0.5870648602187252,validation
Random Forest,69,Day 3,13.682915703517594,17.18112912698431,-0.5589148009359548,validation
Random Forest,70,Day 3,13.475488473618096,16.973021615665417,-0.5302799036907946,validation
Random Forest,71,Day 3,13.479816268844223,17.076016212582235,-0.5621844044901645,validation
Random Forest,72,Day 3,13.043464478643218,16.646700404825395,-0.4950903668515947,validation
XGBoost,1,Day 1,4.865035388649408,6.902999268848118,0.7626842608928568,validation
XGBoost,2,Day 1,6.672197535145822,9.0699864149848,0.5910555919456598,validation
XGBoost,3,Day 1,8.523652275794714,11.214711166597862,0.37651285163377735,validation
XGBoost,4,Day 1,10.006276651602892,13.108601372841585,0.1475482100961223,validation
XGBoost,5,Day 1,10.841421294571767,14.234527683149656,-0.004732974794556588,validation
XGBoost,6,Day 1,11.501768406911111,15.003428958578132,-0.1233903808147403,validation
XGBoost,7,Day 1,11.207205331984476,14.126721954412725,0.005657526661577816,validation
XGBoost,8,Day 1,11.83596354297657,15.14335367547361,-0.14059652952031776,validation
XGBoost,9,Day 1,12.731191726186168,15.875818137720906,-0.25344920927990944,validation
XGBoost,10,Day 1,12.023815516946303,14.710258369124025,-0.07589095167940552,validation
XGBoost,11,Day 1,12.544518557601238,15.490896022338381,-0.19159462006466232,validation
XGBoost,12,Day 1,13.223060295258334,16.35946317385996,-0.3255075800774434,validation
XGBoost,13,Day 1,12.460301459997744,15.782113751769794,-0.23242097859892352,validation
XGBoost,14,Day 1,13.13974884550775,16.58766477306078,-0.3604796235725862,validation
XGBoost,15,Day 1,13.021738571952936,16.477256204236152,-0.3416972230037416,validation
XGBoost,16,Day 1,12.696476853432966,16.078779614711216,-0.2774338081499772,validation
XGBoost,17,Day 1,12.278828375543181,15.737771494399666,-0.22544126313440316,validation
XGBoost,18,Day 1,12.456697214787928,15.60497007440541,-0.2067607888384948,validation
XGBoost,19,Day 1,12.72564225537094,15.870165926538643,-0.2481750745077742,validation
XGBoost,20,Day 1,12.462856221318846,15.932569425602917,-0.25709078171827926,validation
XGBoost,21,Day 1,12.510249638198006,15.894256132414915,-0.2497233571688151,validation
XGBoost,22,Day 1,12.437866602950361,15.700395002261619,-0.22030598357357545,validation
XGBoost,23,Day 1,12.431747621507503,15.789520757195925,-0.23345640911451437,validation
XGBoost,24,Day 1,13.049299865991026,16.314806062914478,-0.3146392387209005,validation
XGBoost,25,Day 2,12.985165055912345,16.89942861306001,-0.4112807880842353,validation
XGBoost,26,Day 2,12.741767108763883,16.85281252145768,-0.40491645696541845,validation
XGBoost,27,Day 2,12.997994202177729,17.463276219023605,-0.5091294105249893,validation
XGBoost,28,Day 2,13.508785948921089,17.86599878131379,-0.5766295333811395,validation
XGBoost,29,Day 2,13.516241833193218,17.915996530589307,-0.5772028689651447,validation
XGBoost,30,Day 2,13.8350153554025,18.540988777376985,-0.6847016611116081,validation
XGBoost,31,Day 2,13.541245541979919,18.259578812913944,-0.6339309589767927,validation
XGBoost,32,Day 2,13.76189250370965,17.841619982531142,-0.5606762258074878,validation
XGBoost,33,Day 2,14.544221255048436,18.52557583050042,-0.6831509478444286,validation
XGBoost,34,Day 2,13.31811588325692,17.223503063240365,-0.4521884063443351,validation
XGBoost,35,Day 2,13.528697706922214,17.371903621871763,-0.4753216064439454,validation
XGBoost,36,Day 2,13.120205951096425,16.8542668904599,-0.3900688728794539,validation
XGBoost,37,Day 2,13.33628840230817,16.960929169001872,-0.4079074061203589,validation
XGBoost,38,Day 2,13.538678386343182,17.35793516300488,-0.47461474145325355,validation
XGBoost,39,Day 2,15.170608402137182,19.080342910769282,-0.7812504496714652,validation
XGBoost,40,Day 2,15.589389572910326,19.6669773378224,-0.8918120619436243,validation
XGBoost,41,Day 2,16.017069213234596,20.291481024734676,-1.0160169737890157,validation
XGBoost,42,Day 2,14.632125008166135,19.35904718364937,-0.8381856731747996,validation
XGBoost,43,Day 2,14.618154726076366,18.92261864006417,-0.7585883350784,validation
XGBoost,44,Day 2,12.955952084124387,16.12445283366015,-0.279535401830318,validation
XGBoost,45,Day 2,13.964498553683411,17.257169492699088,-0.47613321074249826,validation
XGBoost,46,Day 2,15.136531737581569,18.577619864212938,-0.7155382423013377,validation
XGBoost,47,Day 2,14.157262570654327,17.313502407575655,-0.4962507803046514,validation
XGBoost,48,Day 2,14.033230550325097,17.086392027740736,-0.4602210361425827,validation
XGBoost,49,Day 3,14.017924373952585,17.26158151147206,-0.4928281018228342,validation
XGBoost,50,Day 3,14.994379149489669,18.55619159913247,-0.7283041223740325,validation
XGBoost,51,Day 3,15.577774483953888,19.653461840588434,-0.9424181416077824,validation
XGBoost,52,Day 3,15.514715355724547,19.666966553757412,-0.9491826120549873,validation
XGBoost,53,Day 3,16.056010412091588,19.77455464106317,-0.9778281377738489,validation
XGBoost,54,Day 3,15.367489688719937,19.004463531375507,-0.8394089331057031,validation
XGBoost,55,Day 3,15.269945022448823,19.0069311320973,-0.8473850950949289,validation
XGBoost,56,Day 3,14.267171537217182,18.205314709763435,-0.7018565714747518,validation
XGBoost,57,Day 3,13.835032283840466,17.353163531199705,-0.5556177845363777,validation
XGBoost,58,Day 3,13.931704813990763,17.54185224513768,-0.5952834972933951,validation
XGBoost,59,Day 3,15.135248455450164,18.98211494615853,-0.8702247253571593,validation
XGBoost,60,Day 3,15.521722668019972,19.380713850543653,-0.951762121065145,validation
XGBoost,61,Day 3,16.454980968350743,20.1157671055549,-1.1030385827794023,validation
XGBoost,62,Day 3,14.85859951996923,18.885672643416992,-0.8538920038182041,validation
XGBoost,63,Day 3,15.24595400412478,19.14701704001766,-0.9058442008340932,validation
XGBoost,64,Day 3,15.25022829789013,18.967786846920525,-0.8709833416455264,validation
XGBoost,65,Day 3,14.81438019862726,18.571107381778482,-0.7951905430378736,validation
XGBoost,66,Day 3,14.984201954117973,19.068310957132276,-0.8963102154010862,validation
XGBoost,67,Day 3,15.896100566375194,20.150126549943064,-1.1227486790104746,validation
XGBoost,68,Day 3,15.198345960204923,19.23520513728931,-0.9448166284799187,validation
XGBoost,69,Day 3,15.923683931839527,19.894201062646744,-1.0901236649242385,validation
XGBoost,70,Day 3,15.866796163817744,19.585248975808895,-1.0375615658934265,validation
XGBoost,71,Day 3,14.620872314970697,18.369872815059484,-0.8078878240346317,validation
XGBoost,72,Day 3,15.085202865265122,19.207524692639385,-0.9904621180986837,validation
LSTM,1,Day 1,11.180334091186523,13.860293730999004,0.04325610399246216,validation
LSTM,2,Day 1,11.589255332946777,14.301635883367668,-0.0167694091796875,validation
LSTM,3,Day 1,12.795392036437988,15.665366314970951,-0.21655702590942383,validation
LSTM,4,Day 1,11.064638137817383,13.506716152551142,0.09498322010040283,validation
LSTM,5,Day 1,12.533621788024902,15.225357908354733,-0.1494748592376709,validation
LSTM,6,Day 1,12.254669189453125,14.824515189723796,-0.09675765037536621,validation
LSTM,7,Day 1,11.986722946166992,14.906904610069487,-0.10720527172088623,validation
LSTM,8,Day 1,13.358481407165527,16.352385535306844,-0.3299955129623413,validation
LSTM,9,Day 1,12.777082443237305,15.736631502482412,-0.23156702518463135,validation
LSTM,10,Day 1,12.242218971252441,15.282516583022298,-0.16122782230377197,validation
LSTM,11,Day 1,13.325357437133789,16.529264449816065,-0.35669589042663574,validation
LSTM,12,Day 1,12.540634155273438,15.74624928213313,-0.22800016403198242,validation
LSTM,13,Day 1,12.797126770019531,16.12518641637642,-0.28658413887023926,validation
LSTM,14,Day 1,12.717093467712402,15.98830415494328,-0.2639394998550415,validation
LSTM,15,Day 1,12.758583068847656,15.888495048378363,-0.24752795696258545,validation
LSTM,16,Day 1,12.877801895141602,16.637582248223637,-0.36776864528656006,validation
LSTM,17,Day 1,12.966882705688477,16.22387943483357,-0.30231332778930664,validation
LSTM,18,Day 1,12.9386568069458,16.813680727881703,-0.40094447135925293,validation
LSTM,19,Day 1,12.717204093933105,15.866940833108542,-0.24766790866851807,validation
LSTM,20,Day 1,12.255979537963867,15.39297402362494,-0.1733837127685547,validation
LSTM,21,Day 1,12.373539924621582,16.493306044790092,-0.3457019329071045,validation
LSTM,22,Day 1,11.982853889465332,15.651722754089993,-0.21275150775909424,validation
LSTM,23,Day 1,11.500886917114258,15.265431085641465,-0.15293312072753906,validation
LSTM,24,Day 1,11.41765022277832,14.91125839193509,-0.0981745719909668,validation
LSTM,25,Day 2,11.643311500549316,15.541797518072787,-0.1936359405517578,validation
LSTM,26,Day 2,11.741181373596191,15.65738343420954,-0.21267402172088623,validation
LSTM,27,Day 2,11.552146911621094,15.418359666946934,-0.1763901710510254,validation
LSTM,28,Day 2,11.252360343933105,15.142524592200292,-0.13258707523345947,validation
LSTM,29,Day 2,12.144619941711426,16.32749886658337,-0.3099205493927002,validation
LSTM,30,Day 2,12.744312286376953,17.07841716212811,-0.4293956756591797,validation
LSTM,31,Day 2,11.412952423095703,15.18028156808457,-0.12930655479431152,validation
LSTM,32,Day 2,11.077031135559082,14.95695779722105,-0.09680831432342529,validation
LSTM,33,Day 2,10.237671852111816,13.697139602879911,0.07989084720611572,validation
LSTM,34,Day 2,11.653470039367676,15.507042054224408,-0.17716658115386963,validation
LSTM,35,Day 2,11.562885284423828,15.182117403141547,-0.126825213432312,validation
LSTM,36,Day 2,11.551990509033203,15.365815187200043,-0.15538787841796875,validation
LSTM,37,Day 2,11.654679298400879,15.317316286564571,-0.14825975894927979,validation
LSTM,38,Day 2,10.81921100616455,14.26022132905081,0.004743456840515137,validation
LSTM,39,Day 2,10.784963607788086,14.021135452590237,0.0381242036819458,validation
LSTM,40,Day 2,10.69421672821045,14.173323619285357,0.017469346523284912,validation
LSTM,41,Day 2,10.46789836883545,13.654109551398859,0.08716261386871338,validation
LSTM,42,Day 2,11.501952171325684,14.769438268353177,-0.06991517543792725,validation
LSTM,43,Day 2,12.09298324584961,15.605433549709987,-0.19606125354766846,validation
LSTM,44,Day 2,11.18589973449707,14.408349668200477,-0.02167034149169922,validation
LSTM,45,Day 2,10.586956024169922,13.659177697649906,0.07522618770599365,validation
LSTM,46,Day 2,10.429256439208984,13.72798475041465,0.06322813034057617,validation
LSTM,47,Day 2,10.696674346923828,13.955236533609323,0.02790457010269165,validation
LSTM,48,Day 2,11.139341354370117,14.667159390120341,-0.07599413394927979,validation
LSTM,49,Day 3,10.679937362670898,14.110478591426357,0.002455770969390869,validation
LSTM,50,Day 3,11.677557945251465,15.129074682770124,-0.14886021614074707,validation
LSTM,51,Day 3,11.31424331665039,14.697159078725099,-0.08625411987304688,validation
LSTM,52,Day 3,11.734430313110352,15.118834192452379,-0.15189898014068604,validation
LSTM,53,Day 3,11.676345825195312,15.201312781412016,-0.16879212856292725,validation
