hour_ahead,day,selected_model,validation_RMSE,validation_MAE,validation_R2
1,Day 1,Random Forest,6.248657677231146,4.271006972361812,0.805542654145175
2,Day 1,Random Forest,8.404742983024265,5.967506281407034,0.648844176274654
3,Day 1,Random Forest,10.164430726536335,7.349344315326631,0.48782610277453287
4,Day 1,Random Forest,11.664123645198524,8.578499968592965,0.3250659438343081
5,Day 1,Random Forest,12.478878049128046,9.247781061557786,0.22782521794431332
6,Day 1,Random Forest,12.94717258407206,9.779543435929643,0.1634353237537597
7,Day 1,Random Forest,13.030807946156049,10.199260521356775,0.15395028403765343
8,Day 1,Random Forest,13.215111532431953,10.365058919597988,0.13138048856381834
9,Day 1,Random Forest,13.515698310495546,10.682573052763821,0.0915281214358622
10,Day 1,Random Forest,13.835299614616886,10.945925471105529,0.04828965328220336
11,Day 1,Random Forest,14.010963882897085,11.041220006281407,0.02520906219168617
12,Day 1,Random Forest,14.236023543129345,11.20715785175879,-0.0037406524645597905
13,Day 1,Random Forest,14.42466055298313,11.348102198492459,-0.02953223174401054
14,Day 1,Random Forest,14.715252187952698,11.534169566582914,-0.07067327011463886
15,Day 1,Random Forest,14.786491191120106,11.500418938442207,-0.0804756639177735
16,Day 1,Random Forest,14.91950003758042,11.701812531407036,-0.09986854155232106
17,Day 1,Random Forest,15.054874920335509,11.718802659128974,-0.12139943409867815
18,Day 1,Random Forest,15.265700042931574,11.90039904731993,-0.1548584574890508
19,Day 1,Random Forest,15.499753413843033,12.283299298576214,-0.1905897760954236
20,Day 1,LSTM,15.39297402362494,12.255979537963867,-0.1733837127685547
21,Day 1,Random Forest,15.891640379673246,12.6848704459799,-0.24931205156507552
22,Day 1,LSTM,15.651722754089993,11.982853889465332,-0.21275150775909424
23,Day 1,LSTM,15.265431085641465,11.500886917114258,-0.15293312072753906
24,Day 1,LSTM,14.91125839193509,11.41765022277832,-0.0981745719909668
25,Day 2,LSTM,15.541797518072787,11.643311500549316,-0.1936359405517578
26,Day 2,LSTM,15.65738343420954,11.741181373596191,-0.21267402172088623
27,Day 2,LSTM,15.418359666946934,11.552146911621094,-0.1763901710510254
28,Day 2,LSTM,15.142524592200292,11.252360343933105,-0.13258707523345947
29,Day 2,Random Forest,15.92725365085703,11.613361400753769,-0.2464860201271588
30,Day 2,Random Forest,16.27432273444352,11.85640003140703,-0.2979652649567961
31,Day 2,LSTM,15.18028156808457,11.412952423095703,-0.12930655479431152
32,Day 2,LSTM,14.95695779722105,11.077031135559082,-0.09680831432342529
33,Day 2,LSTM,13.697139602879911,10.237671852111816,0.07989084720611572
34,Day 2,LSTM,15.507042054224408,11.653470039367676,-0.17716658115386963
35,Day 2,LSTM,15.182117403141547,11.562885284423828,-0.126825213432312
36,Day 2,LSTM,15.365815187200043,11.551990509033203,-0.15538787841796875
37,Day 2,LSTM,15.317316286564571,11.654679298400879,-0.14825975894927979
38,Day 2,LSTM,14.26022132905081,10.81921100616455,0.004743456840515137
39,Day 2,LSTM,14.021135452590237,10.784963607788086,0.0381242036819458
40,Day 2,LSTM,14.173323619285357,10.69421672821045,0.017469346523284912
41,Day 2,LSTM,13.654109551398859,10.46789836883545,0.08716261386871338
42,Day 2,LSTM,14.769438268353177,11.501952171325684,-0.06991517543792725
43,Day 2,LSTM,15.605433549709987,12.09298324584961,-0.19606125354766846
44,Day 2,LSTM,14.408349668200477,11.18589973449707,-0.02167034149169922
45,Day 2,LSTM,13.659177697649906,10.586956024169922,0.07522618770599365
46,Day 2,LSTM,13.72798475041465,10.429256439208984,0.06322813034057617
47,Day 2,LSTM,13.955236533609323,10.696674346923828,0.02790457010269165
48,Day 2,LSTM,14.667159390120341,11.139341354370117,-0.07599413394927979
49,Day 3,LSTM,14.110478591426357,10.679937362670898,0.002455770969390869
50,Day 3,LSTM,15.129074682770124,11.677557945251465,-0.14886021614074707
51,Day 3,LSTM,14.697159078725099,11.31424331665039,-0.08625411987304688
52,Day 3,LSTM,15.118834192452379,11.734430313110352,-0.15189898014068604
53,Day 3,LSTM,15.201312781412016,11.676345825195312,-0.16879212856292725
54,Day 3,LSTM,14.316114210868562,11.102394104003906,-0.04380011558532715
55,Day 3,LSTM,15.630377004497824,11.943809509277344,-0.24931609630584717
56,Day 3,LSTM,14.496604258728308,11.117406845092773,-0.0790938138961792
57,Day 3,LSTM,14.961018582515269,11.25210189819336,-0.15629291534423828
58,Day 3,LSTM,14.263420878979153,10.764208793640137,-0.05471312999725342
59,Day 3,LSTM,14.646937423192135,11.214448928833008,-0.11352062225341797
60,Day 3,LSTM,15.241048718511435,11.357376098632812,-0.20702719688415527
61,Day 3,LSTM,14.85489199429297,11.179332733154297,-0.1468667984008789
62,Day 3,LSTM,15.810791888350145,12.153121948242188,-0.2993518114089966
63,Day 3,Random Forest,16.451982417231466,12.692055778894469,-0.40708917131628697
64,Day 3,LSTM,15.489561934756711,11.493431091308594,-0.24771332740783691
65,Day 3,LSTM,15.188538315683711,11.636054039001465,-0.20078957080841064
66,Day 3,Random Forest,16.461273375356093,12.972598806532673,-0.4132265511312314
67,Day 3,LSTM,17.14500873324043,13.026599884033203,-0.5368039608001709
68,Day 3,LSTM,16.22701104489585,12.074103355407715,-0.3840829133987427
69,Day 3,LSTM,16.586926452793797,12.65644645690918,-0.45295047760009766
70,Day 3,LSTM,16.150364052652286,12.128229141235352,-0.3855339288711548
71,Day 3,Random Forest,17.076016212582235,13.479816268844223,-0.5621844044901645
72,Day 3,LSTM,16.04873958403987,11.81950569152832,-0.38961005210876465
