hour_ahead,day,selected_model,validation_RMSE,validation_MAE,validation_R2
1,Day 1,Random Forest,8.807126952697937,4.81710890507519,0.6601957760237056
2,Day 1,Random Forest,11.492432809116464,6.653075281954886,0.4217637861920683
3,Day 1,Random Forest,13.057424134262757,8.02297774906015,0.2536245975714448
4,Day 1,LSTM,13.506716152551142,11.064638137817385,0.0949832201004028
5,Day 1,Random Forest,15.224230727089369,9.784283576127816,-0.0136056792439589
6,Day 1,LSTM,14.824515189723796,12.254669189453123,-0.0967576503753662
7,Day 1,LSTM,14.906904610069487,11.986722946166992,-0.1072052717208862
8,Day 1,Random Forest,15.53774761158642,10.686717410714284,-0.0553754132469062
9,Day 1,Random Forest,15.59521546320699,10.926845958646618,-0.0633967655343414
10,Day 1,LSTM,15.282516583022298,12.24221897125244,-0.1612278223037719
11,Day 1,Random Forest,15.642462046072808,11.143156015037595,-0.0701872856674217
12,Day 1,Random Forest,15.745179742389228,11.304816423872175,-0.084288697045642
13,Day 1,Random Forest,15.875351565708147,11.38228141447368,-0.1022850543705562
14,Day 1,LSTM,15.98830415494328,12.717093467712402,-0.2639394998550415
15,Day 1,LSTM,15.888495048378363,12.758583068847656,-0.2475279569625854
16,Day 1,Random Forest,16.321883591982893,11.762027890037594,-0.1662678757643514
17,Day 1,LSTM,16.22387943483357,12.966882705688477,-0.3023133277893066
18,Day 1,Random Forest,16.41470524014405,11.905505028195488,-0.1800053442927525
19,Day 1,LSTM,15.866940833108542,12.717204093933104,-0.247667908668518
20,Day 1,LSTM,15.39297402362494,12.255979537963867,-0.1733837127685547
21,Day 1,LSTM,16.493306044790092,12.373539924621582,-0.3457019329071045
22,Day 1,LSTM,15.651722754089992,11.982853889465332,-0.2127515077590942
23,Day 1,LSTM,15.265431085641463,11.500886917114258,-0.152933120727539
24,Day 1,LSTM,14.91125839193509,11.41765022277832,-0.0981745719909668
25,Day 2,LSTM,15.541797518072787,11.643311500549316,-0.1936359405517578
26,Day 2,LSTM,15.65738343420954,11.741181373596191,-0.2126740217208862
27,Day 2,LSTM,15.418359666946934,11.552146911621094,-0.1763901710510254
28,Day 2,LSTM,15.142524592200292,11.252360343933104,-0.1325870752334594
29,Day 2,LSTM,16.32749886658337,12.144619941711426,-0.3099205493927002
30,Day 2,Random Forest,16.864061303935365,11.651106555451122,-0.2542507387364443
31,Day 2,LSTM,15.18028156808457,11.412952423095703,-0.1293065547943115
32,Day 2,LSTM,14.95695779722105,11.077031135559082,-0.0968083143234252
33,Day 2,LSTM,13.697139602879911,10.237671852111816,0.0798908472061157
34,Day 2,LSTM,15.507042054224408,11.653470039367676,-0.1771665811538696
35,Day 2,LSTM,15.182117403141548,11.562885284423828,-0.126825213432312
36,Day 2,LSTM,15.365815187200043,11.551990509033203,-0.1553878784179687
37,Day 2,LSTM,15.317316286564571,11.65467929840088,-0.1482597589492797
38,Day 2,LSTM,14.26022132905081,10.81921100616455,0.0047434568405151
39,Day 2,LSTM,14.021135452590237,10.784963607788086,0.0381242036819458
40,Day 2,LSTM,14.173323619285355,10.69421672821045,0.0174693465232849
41,Day 2,LSTM,13.65410955139886,10.46789836883545,0.0871626138687133
42,Day 2,LSTM,14.769438268353175,11.501952171325684,-0.0699151754379272
43,Day 2,LSTM,15.605433549709987,12.09298324584961,-0.1960612535476684
44,Day 2,LSTM,14.408349668200476,11.18589973449707,-0.0216703414916992
45,Day 2,LSTM,13.659177697649906,10.586956024169922,0.0752261877059936
46,Day 2,LSTM,13.72798475041465,10.429256439208984,0.0632281303405761
47,Day 2,LSTM,13.955236533609323,10.696674346923828,0.0279045701026916
48,Day 2,LSTM,14.66715939012034,11.139341354370115,-0.0759941339492797
49,Day 3,LSTM,14.110478591426356,10.679937362670898,0.0024557709693908
50,Day 3,LSTM,15.129074682770124,11.677557945251465,-0.148860216140747
51,Day 3,LSTM,14.6971590787251,11.31424331665039,-0.0862541198730468
52,Day 3,LSTM,15.11883419245238,11.734430313110352,-0.151898980140686
53,Day 3,LSTM,15.201312781412016,11.676345825195312,-0.1687921285629272
54,Day 3,LSTM,14.316114210868562,11.102394104003906,-0.0438001155853271
55,Day 3,Random Forest,15.6091984345625,12.008279307644113,-0.4434372302360305
56,Day 3,LSTM,14.496604258728308,11.117406845092772,-0.0790938138961792
57,Day 3,LSTM,14.961018582515267,11.25210189819336,-0.1562929153442382
58,Day 3,LSTM,14.263420878979153,10.764208793640137,-0.0547131299972534
59,Day 3,LSTM,14.646937423192137,11.214448928833008,-0.1135206222534179
60,Day 3,Random Forest,15.15594472269852,11.475363572994988,-0.4175172915322578
61,Day 3,LSTM,14.85489199429297,11.179332733154297,-0.1468667984008789
62,Day 3,Random Forest,15.148462329948233,11.41091023652882,-0.4204913148256188
63,Day 3,Random Forest,15.012295126733536,11.372939544172931,-0.3971361262972372
64,Day 3,Random Forest,14.802723796258633,11.289278383458646,-0.359603966483113
65,Day 3,LSTM,15.188538315683711,11.636054039001465,-0.2007895708084106
66,Day 3,Random Forest,15.020983004223991,11.717612327694244,-0.4015383524302254
67,Day 3,Random Forest,15.616096806735278,12.233328453947372,-0.5154210159096204
68,Day 3,Random Forest,15.798340068927502,12.352761771616544,-0.5521969288602282
69,Day 3,Random Forest,15.581534348466198,12.131137030075193,-0.5103961008192042
70,Day 3,Random Forest,15.519774622239158,12.171550305451133,-0.4993639674157504
71,Day 3,Random Forest,15.635944570610048,12.189762500000002,-0.5231179723062014
72,Day 3,Random Forest,15.299371049787268,11.865450164473684,-0.4592319891672134
