sensor_id,name,records,first,last,longest_block_hours,hours_available,has_72h_block,status
13181992,Rawalpindi Women University,715,2026-07-25 04:00:00+00:00,2026-08-24 02:00:00+00:00,551,715,True,200
13192751,E11/4 Sector Islamabad,715,2026-07-25 04:00:00+00:00,2026-08-24 02:00:00+00:00,551,715,True,200
13191604,Public Health Engineering,627,2026-07-25 04:00:00+00:00,2026-08-24 02:00:00+00:00,346,627,True,200
13190993,WASA Head Office 1,706,2026-07-25 04:00:00+00:00,2026-08-24 02:00:00+00:00,267,706,True,200
13229202,Park Road F-8/1,459,2026-07-25 04:00:00+00:00,2026-08-24 02:00:00+00:00,182,459,True,200
13190424,Social Welfare Department,419,2026-08-06 09:00:00+00:00,2026-08-24 02:00:00+00:00,179,419,True,200
13192453,PHA Head Office,420,2026-08-06 10:00:00+00:00,2026-08-24 02:00:00+00:00,171,420,True,200
13451278,Govt. Graduate College,377,2026-07-25 04:00:00+00:00,2026-08-24 02:00:00+00:00,140,377,True,200
13191310,Punjab Food Authority,301,2026-08-06 10:00:00+00:00,2026-08-24 02:00:00+00:00,138,301,True,200
13493758,NASTP,406,2026-08-06 10:00:00+00:00,2026-08-24 02:00:00+00:00,92,406,True,200
14671479,"Street 8, F-7/3",717,2026-07-25 04:00:00+00:00,2026-08-24 01:00:00+00:00,488,717,True,200
14671534,Rawalpindi A GT Road,714,2026-07-25 04:00:00+00:00,2026-08-24 01:00:00+00:00,408,714,True,200
14671507,Islamabad H11 A,712,2026-07-25 04:00:00+00:00,2026-08-24 01:00:00+00:00,260,712,True,200
14671510,Street #1 F-6/3,708,2026-07-25 04:00:00+00:00,2026-08-24 01:00:00+00:00,199,708,True,200
14671485,Bahria Town Phase 2,699,2026-07-25 04:00:00+00:00,2026-08-24 01:00:00+00:00,145,699,True,200
14671482,Dr Abuzar - Bahria Town,694,2026-07-25 04:00:00+00:00,2026-08-24 01:00:00+00:00,127,694,True,200
13191609,"Conservator of Forest, North zone",606,2026-07-28 10:00:00+00:00,2026-08-23 17:00:00+00:00,99,606,True,200
13137731,"F-7, Islamabad",478,2026-07-25 04:00:00+00:00,2026-08-23 02:00:00+00:00,417,478,True,200
13236697,District Health Authority,80,2026-08-15 09:00:00+00:00,2026-08-24 02:00:00+00:00,42,80,False,200
14686629,PHA Head Office,252,2026-08-06 10:00:00+00:00,2026-08-23 23:00:00+00:00,11,252,False,200
14686636,Punjab Food Authority,179,2026-08-06 10:00:00+00:00,2026-08-23 23:00:00+00:00,11,179,False,200
14680875,NASTP,300,2026-08-06 10:00:00+00:00,2026-08-23 22:00:00+00:00,11,300,False,200
13183766,"Wasa 3, OHR Office",129,2026-07-28 21:00:00+00:00,2026-08-23 17:00:00+00:00,16,129,False,200
25066,US Diplomatic Post: Islamabad,0,,,0,0,False,200
1343270,Islamabad,0,,,0,0,False,200
12960851,Buraq integrated solutions,0,,,0,0,False,200
13201383,WASA 2,0,,,0,0,False,200
14671472,Islamabad Station,0,,,0,0,False,200
14671502,Mughal Village,0,,,0,0,False,200
14671513,F7-2 Street 20,0,,,0,0,False,200
14671520,House Street22 E7,0,,,0,0,False,200
14671527,Westridge1,0,,,0,0,False,200
14683997,Device 1 Suraj Gali,0,,,0,0,False,200
14673718,Fair Finance Pakistan Islamabad,0,,,0,0,False,200
14719910,WASA 2 Sufaid tanki,0,,,0,0,False,200
13784055,DC Office Sialkot,0,,,0,0,False,200
13817565,DC office,0,,,0,0,False,200
